A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
4.90E-07,0.0001163,15,0,,9.80E-07,8.96E-05,15,0,,6.50E-07,4.36E-06,14,0,,4.90E-07,0.00013246,20,25,,3.37E-06,0.00014603,23,10,,1.13E-06,4.00E-06,17,0
4.90E-07,0.0001163,16,4,,9.80E-07,8.96E-05,16,4,,6.50E-07,4.36E-06,16,2,,4.90E-07,0.00013246,22,4,,3.38E-06,0.00014603,22,4,,1.15E-06,4.00E-06,17,0
4.90E-07,0.0001163,14,6,,1.00E-06,8.96E-05,14,6,,6.50E-07,4.36E-06,14,4,,4.90E-07,0.00013246,22,7,,3.40E-06,0.00014603,22,2,,1.15E-06,4.00E-06,18,0
5.10E-07,0.0001163,14,3,,1.00E-06,8.96E-05,14,3,,6.60E-07,4.36E-06,13,3,,5.10E-07,0.00013246,34,9,,3.40E-06,0.0001461,36,8,,1.15E-06,4.32E-06,29,0
5.10E-07,0.0001163,13,8,,1.00E-06,8.96E-05,13,8,,6.60E-07,4.36E-06,12,8,,5.10E-07,0.00013246,22,6,,3.40E-06,0.0001461,24,5,,1.17E-06,4.32E-06,19,0
5.30E-07,0.0001163,7,3,,1.02E-06,8.96E-05,7,3,,6.80E-07,4.36E-06,7,3,,5.20E-07,0.00013246,33,1,,3.41E-06,0.00014616,33,3,,1.17E-06,4.32E-06,29,0
5.30E-07,0.0001163,19,2,,1.02E-06,8.96E-05,19,2,,6.80E-07,4.36E-06,17,1,,5.20E-07,0.00013246,21,1,,3.41E-06,0.00014623,22,1,,1.18E-06,4.32E-06,20,0
5.30E-07,0.0001163,20,9,,1.02E-06,8.96E-05,20,9,,6.80E-07,4.36E-06,20,9,,1.56E-06,0.00013246,24,4,,3.41E-06,0.00014636,25,4,,1.18E-06,4.32E-06,21,0
5.50E-07,0.0001163,14,12,,1.04E-06,8.96E-05,14,14,,7.00E-07,4.36E-06,14,10,,1.56E-06,0.00013246,24,0,,3.42E-06,0.00014653,23,1,,1.18E-06,4.32E-06,22,0
5.50E-07,0.0001163,21,2,,1.04E-06,8.96E-05,21,2,,7.00E-07,4.36E-06,19,2,,1.58E-06,0.00013246,23,0,,3.42E-06,0.00014653,23,0,,1.20E-06,4.32E-06,20,0
5.50E-07,0.0001163,14,6,,1.06E-06,8.96E-05,14,6,,7.00E-07,4.36E-06,13,3,,1.60E-06,0.00013246,27,16,,3.44E-06,0.00014653,26,11,,1.20E-06,4.32E-06,19,0
5.70E-07,0.0001163,11,6,,1.06E-06,8.96E-05,11,6,,7.20E-07,4.36E-06,10,6,,1.60E-06,0.00013246,19,0,,3.44E-06,0.00014653,18,0,,1.21E-06,4.32E-06,15,0
5.70E-07,0.0001163,21,0,,1.06E-06,8.96E-05,20,0,,7.20E-07,4.36E-06,18,0,,1.62E-06,0.00013246,24,2,,3.44E-06,0.00014653,24,2,,1.21E-06,4.32E-06,19,0
5.90E-07,0.0001163,16,10,,1.08E-06,8.96E-05,16,10,,7.40E-07,4.36E-06,16,9,,1.62E-06,0.00013246,23,5,,3.46E-06,0.00014653,26,3,,1.21E-06,4.32E-06,21,0
5.90E-07,0.0001163,19,4,,1.08E-06,8.96E-05,19,4,,7.40E-07,4.36E-06,19,3,,1.62E-06,0.00013246,30,15,,3.46E-06,0.00014666,30,3,,1.23E-06,4.32E-06,24,0
5.90E-07,0.0001163,17,8,,1.10E-06,8.96E-05,17,8,,7.40E-07,4.36E-06,14,7,,1.64E-06,0.00013246,24,12,,3.47E-06,0.00014666,24,12,,1.23E-06,4.32E-06,21,0
